home_score,away_score,home_team_id,away_team_id,description
1,2,Reggina,Milan,Reggina vs Milan
0,0,Robur Siena,Sampdoria,Robur Siena vs Sampdoria
0,0,Sampdoria,Juventus,Sampdoria vs Juventus
1,0,Fiorentina,Genoa,Fiorentina vs Genoa
0,1,Bologna,Napoli,Bologna vs Napoli
1,0,Catania,Chievo,Catania vs Chievo
2,0,Lecce,Cagliari,Lecce vs Cagliari
1,0,Palermo,Reggina,Palermo vs Reggina
2,0,Roma,Atalanta,Roma vs Atalanta
1,3,Torino,Lazio,Torino vs Lazio
2,1,Udinese,Robur Siena,Udinese vs Robur Siena
1,0,Milan,Internazionale,Milan vs Internazionale
1,1,Lazio,Lecce,Lazio vs Lecce
2,1,Internazionale,Bologna,Internazionale vs Bologna
4,2,Atalanta,Sampdoria,Atalanta vs Sampdoria
0,2,Chievo,Fiorentina,Chievo vs Fiorentina
3,2,Genoa,Napoli,Genoa vs Napoli
1,2,Juventus,Palermo,Juventus vs Palermo
1,1,Reggina,Catania,Reggina vs Catania
1,0,Robur Siena,Roma,Robur Siena vs Roma
2,0,Udinese,Torino,Udinese vs Torino
0,0,Cagliari,Milan,Cagliari vs Milan
3,0,Fiorentina,Reggina,Fiorentina vs Reggina
2,1,Napoli,Juventus,Napoli vs Juventus
3,1,Bologna,Lazio,Bologna vs Lazio
2,0,Catania,Palermo,Catania vs Palermo
1,1,Chievo,Atalanta,Chievo vs Atalanta
1,0,Genoa,Robur Siena,Genoa vs Robur Siena
2,2,Lecce,Udinese,Lecce vs Udinese
3,0,Milan,Sampdoria,Milan vs Sampdoria
0,1,Torino,Cagliari,Torino vs Cagliari
0,4,Roma,Internazionale,Roma vs Internazionale
1,1,Robur Siena,Catania,Robur Siena vs Catania
1,0,Juventus,Torino,Juventus vs Torino
0,1,Atalanta,Milan,Atalanta vs Milan
2,0,Cagliari,Chievo,Cagliari vs Chievo
0,0,Internazionale,Genoa,Internazionale vs Genoa
0,1,Lazio,Napoli,Lazio vs Napoli
2,0,Reggina,Lecce,Reggina vs Lecce
2,0,Sampdoria,Bologna,Sampdoria vs Bologna
3,1,Udinese,Roma,Udinese vs Roma
1,3,Palermo,Fiorentina,Palermo vs Fiorentina
1,2,Bologna,Juventus,Bologna vs Juventus
0,2,Catania,Udinese,Catania vs Udinese
1,2,Chievo,Lazio,Chievo vs Lazio
0,0,Fiorentina,Internazionale,Fiorentina vs Internazionale
2,1,Genoa,Cagliari,Genoa vs Cagliari
1,1,Lecce,Palermo,Lecce vs Palermo
2,1,Milan,Robur Siena,Milan vs Robur Siena
3,0,Napoli,Reggina,Napoli vs Reggina
2,1,Torino,Atalanta,Torino vs Atalanta
2,0,Roma,Sampdoria,Roma vs Sampdoria
2,3,Reggina,Internazionale,Reggina vs Internazionale
2,0,Juventus,Roma,Juventus vs Roma
0,0,Atalanta,Lecce,Atalanta vs Lecce
5,1,Cagliari,Bologna,Cagliari vs Bologna
1,0,Lazio,Catania,Lazio vs Catania
3,0,Palermo,Chievo,Palermo vs Chievo
1,0,Sampdoria,Torino,Sampdoria vs Torino
1,0,Robur Siena,Fiorentina,Robur Siena vs Fiorentina
2,2,Udinese,Genoa,Udinese vs Genoa
1,0,Milan,Napoli,Milan vs Napoli
1,0,Torino,Palermo,Torino vs Palermo
1,1,Bologna,Roma,Bologna vs Roma
2,1,Catania,Cagliari,Catania vs Cagliari
0,2,Chievo,Juventus,Chievo vs Juventus
2,1,Fiorentina,Atalanta,Fiorentina vs Atalanta
4,0,Genoa,Reggina,Genoa vs Reggina
1,0,Internazionale,Udinese,Internazionale vs Udinese
3,0,Lazio,Robur Siena,Lazio vs Robur Siena
2,0,Napoli,Sampdoria,Napoli vs Sampdoria
1,1,Lecce,Milan,Lecce vs Milan
4,1,Juventus,Genoa,Juventus vs Genoa
0,2,Palermo,Internazionale,Palermo vs Internazionale
3,1,Atalanta,Napoli,Atalanta vs Napoli
1,0,Cagliari,Fiorentina,Cagliari vs Fiorentina
3,2,Catania,Torino,Catania vs Torino
1,0,Milan,Chievo,Milan vs Chievo
3,2,Sampdoria,Lecce,Sampdoria vs Lecce
1,1,Robur Siena,Bologna,Robur Siena vs Bologna
0,1,Udinese,Reggina,Udinese vs Reggina
1,0,Roma,Lazio,Roma vs Lazio
4,2,Fiorentina,Udinese,Fiorentina vs Udinese
1,0,Internazionale,Juventus,Internazionale vs Juventus
1,1,Bologna,Palermo,Bologna vs Palermo
0,2,Chievo,Robur Siena,Chievo vs Robur Siena
1,1,Lazio,Genoa,Lazio vs Genoa
0,3,Lecce,Roma,Lecce vs Roma
2,2,Napoli,Cagliari,Napoli vs Cagliari
3,1,Reggina,Atalanta,Reggina vs Atalanta
3,0,Sampdoria,Catania,Sampdoria vs Catania
2,2,Torino,Milan,Torino vs Milan
1,1,Catania,Lecce,Catania vs Lecce
4,0,Juventus,Reggina,Juventus vs Reggina
2,0,Atalanta,Lazio,Atalanta vs Lazio
1,0,Cagliari,Sampdoria,Cagliari vs Sampdoria
1,1,Genoa,Bologna,Genoa vs Bologna
2,1,Internazionale,Napoli,Internazionale vs Napoli
1,0,Roma,Fiorentina,Roma vs Fiorentina
1,0,Robur Siena,Torino,Robur Siena vs Torino
0,1,Udinese,Chievo,Udinese vs Chievo
3,1,Palermo,Milan,Palermo vs Milan
0,1,Chievo,Roma,Chievo vs Roma
0,3,Lazio,Internazionale,Lazio vs Internazionale
3,0,Atalanta,Udinese,Atalanta vs Udinese
1,0,Cagliari,Palermo,Cagliari vs Palermo
1,2,Lecce,Juventus,Lecce vs Juventus
1,0,Milan,Catania,Milan vs Catania
2,0,Napoli,Robur Siena,Napoli vs Robur Siena
2,2,Reggina,Bologna,Reggina vs Bologna
1,4,Torino,Fiorentina,Torino vs Fiorentina
